query_index,query_id,image_id,semantic_id,split,pattern_id,palette_id,ambiguity_level,template_id,omitted_attribute,image_row_index,positive_candidate_id,positive_position_source,positive_rank,top1_candidate_id,top1_candidate_role,top1_score,positive_score,positive_margin,recall_at_1,recall_at_5,mrr,ndcg_at_10,hard_negative_accuracy
40,HNQ-V2_041,V2_041,SEM-7182256D7B84CB51,ood_palette,mixed_asymmetric,verde_ocre_crema,alto,TPL_01,palette_id,40,HNC-V2_041-P05,5,2,HNC-V2_041-P03,hard_negative,0.344187885523,0.343252420425,-0.000935465097,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
41,HNQ-V2_042,V2_042,SEM-E7CF6ADDFBA2B989,ood_palette,mixed_asymmetric,morado_gris_rosa,alto,TPL_01,motif,41,HNC-V2_042-P02,2,2,HNC-V2_042-P03,hard_negative,0.318665266037,0.314505934715,-0.004159331322,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
42,HNQ-V2_043,V2_043,SEM-56C4D842DA98D20F,ood_pattern,chevrons_diagonal,rojo_negro_crema,medio,TPL_01,orientation,42,HNC-V2_043-P04,4,1,HNC-V2_043-P04,positive,0.328270047903,0.328270047903,0.003767162561,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
43,HNQ-V2_044,V2_044,SEM-14E04EF9E89810AE,ood_pattern,chevrons_diagonal,azul_crema_marron,medio,TPL_01,composition,43,HNC-V2_044-P01,1,1,HNC-V2_044-P01,positive,0.308489412069,0.308489412069,0.002677947283,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
44,HNQ-V2_045,V2_045,SEM-65762749FD7D9D05,ood_pattern,chevrons_diagonal,ocre_marron_negro,medio,TPL_01,symmetry,44,HNC-V2_045-P03,3,1,HNC-V2_045-P03,positive,0.293083339930,0.293083339930,0.001555532217,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
45,HNQ-V2_046,V2_046,SEM-C6432B9E4CDBB5A7,ood_pattern,chevrons_diagonal,blanco_negro_gris,medio,TPL_01,palette_id,45,HNC-V2_046-P01,1,1,HNC-V2_046-P01,positive,0.287164688110,0.287164688110,0.000525444746,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
46,HNQ-V2_047,V2_047,SEM-2FFA4D814BEBCF16,ood_pattern,chevrons_diagonal,multicolor_tierra,medio,TPL_01,motif,46,HNC-V2_047-P03,3,1,HNC-V2_047-P03,positive,0.303817003965,0.303817003965,0.007865786552,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
47,HNQ-V2_048,V2_048,SEM-EE8AABF8E6A4B9F8,ood_pattern,circles_concentric,rojo_negro_crema,bajo,TPL_01,orientation,47,HNC-V2_048-P05,5,1,HNC-V2_048-P05,positive,0.329175859690,0.329175859690,0.008106976748,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
48,HNQ-V2_049,V2_049,SEM-6D37CFF774A2170A,ood_pattern,circles_concentric,azul_crema_marron,bajo,TPL_01,composition,48,HNC-V2_049-P02,2,1,HNC-V2_049-P02,positive,0.354372024536,0.354372024536,0.001262903214,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
49,HNQ-V2_050,V2_050,SEM-FC6C9490A1241F7A,ood_pattern,circles_concentric,ocre_marron_negro,bajo,TPL_01,symmetry,49,HNC-V2_050-P04,4,1,HNC-V2_050-P04,positive,0.300956934690,0.300956934690,0.010522753000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
50,HNQ-V2_051,V2_051,SEM-0920FB69B33089FA,ood_pattern,circles_concentric,blanco_negro_gris,bajo,TPL_01,palette_id,50,HNC-V2_051-P02,2,1,HNC-V2_051-P02,positive,0.307164281607,0.307164281607,0.007165580988,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
51,HNQ-V2_052,V2_052,SEM-E1BF16D5596893CB,ood_pattern,circles_concentric,multicolor_tierra,bajo,TPL_01,motif,51,HNC-V2_052-P04,4,1,HNC-V2_052-P04,positive,0.333897471428,0.333897471428,0.006971299648,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
52,HNQ-V2_053,V2_053,SEM-20B860903E0F0C0C,ood_both,chevrons_diagonal,verde_ocre_crema,medio,TPL_01,orientation,52,HNC-V2_053-P01,1,1,HNC-V2_053-P01,positive,0.338127553463,0.338127553463,0.000082015991,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
53,HNQ-V2_054,V2_054,SEM-C4C38215AF96E506,ood_both,chevrons_diagonal,morado_gris_rosa,medio,TPL_01,composition,53,HNC-V2_054-P03,3,1,HNC-V2_054-P03,positive,0.314999639988,0.314999639988,0.000024467707,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
54,HNQ-V2_055,V2_055,SEM-B3C4DB2C1AD51CA9,ood_both,circles_concentric,verde_ocre_crema,bajo,TPL_01,symmetry,54,HNC-V2_055-P05,5,1,HNC-V2_055-P05,positive,0.349800050259,0.349800050259,0.007369220257,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
55,HNQ-V2_056,V2_056,SEM-1076CAB99B86DF83,ood_both,circles_concentric,morado_gris_rosa,bajo,TPL_01,palette_id,55,HNC-V2_056-P03,3,1,HNC-V2_056-P03,positive,0.348027378321,0.348027378321,0.007380217314,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
