usage_row_index,source_id,source_row_index,record_id,text_row_index,text_id,text_sha256
96,positivos,96,CAP-V2_020-TPL_02,96,TXT-0097,10bb1576dad6989f7ca02b6926252cd3036180863f869785e825db54ed44373d
97,positivos,97,CAP-V2_020-TPL_03,97,TXT-0098,d3a1742ba12278062d7995ac78c662e72c6e5b9ec14efac2b646ac5b6082851b
98,positivos,98,CAP-V2_020-TPL_04,98,TXT-0099,45d405c5f1e1f42f55bc8b3698def05e3cc828e906ddbddb4c65e3fa5d627ca3
99,positivos,99,CAP-V2_020-TPL_05,99,TXT-0100,43e20fb22d99cb51cdec6fd5868edce3adfcedffde6a8936f264ff10b5375777
100,positivos,100,CAP-V2_021-TPL_01,100,TXT-0101,c8f0ecae7756eead137dd868ed807273b0722696cb014331464a69d7c76fcebc
101,positivos,101,CAP-V2_021-TPL_02,101,TXT-0102,744739450c8eb1c57070384a27e0907ecc212804427c9a7d1635d24896270ac8
102,positivos,102,CAP-V2_021-TPL_03,102,TXT-0103,ba994dba079d5bb3a16b9c57ad6857e05fcb5820360e67cdd522d1a43e117756
103,positivos,103,CAP-V2_021-TPL_04,103,TXT-0104,5789a5aefaa4dd7825d3f9210cb9c72d6779a9f98c6a35fdfa5a9aea86c941c5
104,positivos,104,CAP-V2_021-TPL_05,104,TXT-0105,89be9c33c597228c3b86873abee99b1aa4fde566f75df97fff099629377bde15
105,positivos,105,CAP-V2_022-TPL_01,105,TXT-0106,b1cbec5d21808dc3117d559e730b45e9a6aecc18640577addd22472dd12fb928
106,positivos,106,CAP-V2_022-TPL_02,106,TXT-0107,d801b981687191dca0fd498cd28f0693f3d9af12bc5865b3a8937fb4c16d84a8
107,positivos,107,CAP-V2_022-TPL_03,107,TXT-0108,f76c24ad0b934bcac024bca64be2e5f82d912e58c2dfd1cd826e657674ff766d
108,positivos,108,CAP-V2_022-TPL_04,108,TXT-0109,798ea956e2c96aa1ab5fc1876b3e697b1731a4f5a085ebcf01623f6e8feac13f
109,positivos,109,CAP-V2_022-TPL_05,109,TXT-0110,86368a3507fc0319eae14ac512d27f28a82603c523bc7f96bf3a556edfea51fe
110,positivos,110,CAP-V2_023-TPL_01,110,TXT-0111,cfb119ddda3022f810e27a0fed111604c2ed2396b597b2b305b60ba55e3d42ee
111,positivos,111,CAP-V2_023-TPL_02,111,TXT-0112,ebe0f79a64d264914a54c4ade96d3ff000ccc9a78d46c03e4767940144bbb3ee
112,positivos,112,CAP-V2_023-TPL_03,112,TXT-0113,2f8aec162ea8c797df5fb62894ae52456eea0363b01809aca958213d0ab7487e
113,positivos,113,CAP-V2_023-TPL_04,113,TXT-0114,6a85b781fb812d08964481a3de5800b95a808e4002d08afab892babb37ba4d7d
114,positivos,114,CAP-V2_023-TPL_05,114,TXT-0115,243bc5d869acf8dd4d108eb4f20dbef4af0930e604a671312eac40ecc8fd70b3
115,positivos,115,CAP-V2_024-TPL_01,115,TXT-0116,1abaa86d1bd39dda4065d68a27035f07de9844808fc5648b15d30ea06be585a2
116,positivos,116,CAP-V2_024-TPL_02,116,TXT-0117,992f26ab3860df1a89fab201d468a925e623c39574ee14b4fd2b1475cdadc33c
117,positivos,117,CAP-V2_024-TPL_03,117,TXT-0118,a2bdd6117cc215f867931f64d2406211251abfbf1a998d29bb04a2a4249df4e7
118,positivos,118,CAP-V2_024-TPL_04,118,TXT-0119,1805cbf7e5e7540965142eef7f0d67a571fa2565fb743aeea4f74d28a1b71bcf
119,positivos,119,CAP-V2_024-TPL_05,119,TXT-0120,cf4f38dd3a03a3937e8e6d269686a61768ebc249502dc361fe133b5a01bbd520
120,positivos,120,CAP-V2_025-TPL_01,120,TXT-0121,bc83cfb5144d7091b1084f0df755be4b135a5e48644b5ad04ac858359b58a3b5
121,positivos,121,CAP-V2_025-TPL_02,121,TXT-0122,0a49a3e7aec236c69016cc64bbeaf2d345a02bc963dab1ef532b510f48d0df2c
122,positivos,122,CAP-V2_025-TPL_03,122,TXT-0123,87ebb9bbf0c8239eac45189187ce08480ca9e40776741b79a74b8dd7ec53993e
123,positivos,123,CAP-V2_025-TPL_04,123,TXT-0124,8ac3b7e14549f46bd26553219fcd15a2d905876e98344e75b411e9ab9fbb39e4
124,positivos,124,CAP-V2_025-TPL_05,124,TXT-0125,5169e110f769450da046316b6bf6c42ce6907a65137c8687ed30fa514d28a676
125,positivos,125,CAP-V2_026-TPL_01,125,TXT-0126,88ffc688ebfa4a8905abd903dd6dba411e41be5fba1b0971ead046691410d20b
126,positivos,126,CAP-V2_026-TPL_02,126,TXT-0127,961ba880775acba83044c5185d549794e2633558b05570c3c7d6a29367283186
127,positivos,127,CAP-V2_026-TPL_03,127,TXT-0128,9d10ff1ca0c4a49ff5ae471cb25706d59b46ec65c6ebe22ff24dd612b978f923
128,positivos,128,CAP-V2_026-TPL_04,128,TXT-0129,2c573e7ceeab6ba6bd5c7af3035426098464e721d7561d10ac9a5d9719510621
129,positivos,129,CAP-V2_026-TPL_05,129,TXT-0130,79a7b8d8a8f0c5c66ee1bdaef280ca581800f152728131c75eb99dfc06dbf3ee
130,positivos,130,CAP-V2_027-TPL_01,130,TXT-0131,7c6058084e5a136443f68f271ecd01e65f0bd284b7816eb69382c448621a9c0c
131,positivos,131,CAP-V2_027-TPL_02,131,TXT-0132,2960b469a1d2e71b85f02d11ca99342cff4273e36d5d247b13b2de0b6bfa8302
132,positivos,132,CAP-V2_027-TPL_03,132,TXT-0133,b541dc250f46cf13e063e859e09363fa304a6a7aab3f9ff11b18707f3f1776a5
133,positivos,133,CAP-V2_027-TPL_04,133,TXT-0134,4b888c8f1771b1c6659c53307a31ab98feb884a26add675886ecee959dd1548b
134,positivos,134,CAP-V2_027-TPL_05,134,TXT-0135,2a3b1be4d0d4c54b6f30c649d39836ed51fdc5d8f78bfc3d9eb076e8e7207c7e
135,positivos,135,CAP-V2_028-TPL_01,135,TXT-0136,477d3f1b28a1a2d977c4a157a74f3a63f4f0183d71e4842e742e2f9461648779
136,positivos,136,CAP-V2_028-TPL_02,136,TXT-0137,2b1de60ac21acd03e10e047e1b83b5432b4a1833082eba85a495e5913fb79608
137,positivos,137,CAP-V2_028-TPL_03,137,TXT-0138,c9d72356739b1f9a7ed652ac8c52462c6c1fcdffedeea4892de3a3a6750d340e
138,positivos,138,CAP-V2_028-TPL_04,138,TXT-0139,7c168bdf4f386936f22dc947139ab8ce757a2c9ec263958d3afd9f310f524a41
139,positivos,139,CAP-V2_028-TPL_05,139,TXT-0140,c30bec42323826bd43cf62d5e45d692f8b6e458ce7026234dfc7f998b6471275
140,positivos,140,CAP-V2_029-TPL_01,140,TXT-0141,c8bf8a072e3118987307c7ef2cc3f031ff219c8b5e2d2d41740da57be8c55c2d
141,positivos,141,CAP-V2_029-TPL_02,141,TXT-0142,2db678d360fead34f90fa4ec6cf06069bc3bde7d0b19d8520dbfa69caee708b9
142,positivos,142,CAP-V2_029-TPL_03,142,TXT-0143,61816e15f89f94f40b22f174a6b5bb11c074180541543a2a05b74838e48f8220
143,positivos,143,CAP-V2_029-TPL_04,143,TXT-0144,356a849537003f85639add198fb748a1d68a457709120396e53bfc65e1c17458
144,positivos,144,CAP-V2_029-TPL_05,144,TXT-0145,20739d0903e04e3407fff83f2ee2d970a8d3b95008d083efd9c8e435423511bc
145,positivos,145,CAP-V2_030-TPL_01,145,TXT-0146,c65695c9b8c5e56efbbc0543cc69db2c19b69afda0923318baec8a1408b0cb31
146,positivos,146,CAP-V2_030-TPL_02,146,TXT-0147,eed59e2ce3838bf7b3e5f2c25fae04cf8869fe564c3c68a28b096c743057c065
147,positivos,147,CAP-V2_030-TPL_03,147,TXT-0148,96d1729c28d49f95969e3c37eeb326b4582d008da3fe52c681d19fac86167ab4
148,positivos,148,CAP-V2_030-TPL_04,148,TXT-0149,47e0f3a8fc7e1ae6571bb854071bc2a1d12e4a0011bde2e2600ade075c6d91f6
149,positivos,149,CAP-V2_030-TPL_05,149,TXT-0150,5370b5abcfd7145b329de87f5969d013b08f6bb695689d8c5288847056efabfa
150,positivos,150,CAP-V2_031-TPL_01,150,TXT-0151,4510181f3d572f5916240991ce97faa61283b0617927b7c6dce23528054a1d1b
151,positivos,151,CAP-V2_031-TPL_02,151,TXT-0152,12ab3a00dae37d9aa64e59aacaa315793fc0210431534779330ec838f8558f55
152,positivos,152,CAP-V2_031-TPL_03,152,TXT-0153,c608d7f0508e558c36d8660158e892049b742dc3bbbd9342630ea547d0695593
153,positivos,153,CAP-V2_031-TPL_04,153,TXT-0154,9b4b22e92029a5565148a3ddab46a84f139a84d792f6aa8d557e07cfcfabeb80
154,positivos,154,CAP-V2_031-TPL_05,154,TXT-0155,3c251744753346f60f3eaba84adfbf8a23348363fd0a0a85a4f43ff9241bc3f2
155,positivos,155,CAP-V2_032-TPL_01,155,TXT-0156,50d1669c92f44c0006f228030bca2d4bc83208eddccf6a376430fb06e27dc528
156,positivos,156,CAP-V2_032-TPL_02,156,TXT-0157,71eb03a790fe1bb05dc812675f8d5172ff228bc1c1399b1f3a23008e6927ccd9
157,positivos,157,CAP-V2_032-TPL_03,157,TXT-0158,13ecbe7d61a093e434b2dd5c84ed50977076f802d3cfa0b773dbb2314eb13ffe
158,positivos,158,CAP-V2_032-TPL_04,158,TXT-0159,ba94f5d4ef231235e9750d882c89faa7cad3a78da0323c35d2389527cb9fef0d
159,positivos,159,CAP-V2_032-TPL_05,159,TXT-0160,891f2b59d3b03521a2dd08a960f1c48c0c975b678e08b0f2c63d246c9ab8034c
160,positivos,160,CAP-V2_033-TPL_01,160,TXT-0161,4efc5614dbfbf2c48a2cc7f23b125eee642aef36ccadad100adfb2ac507c51da
161,positivos,161,CAP-V2_033-TPL_02,161,TXT-0162,82fd5c546d8f587910957aaebf1b9078ff230d3b8113811285ddef9be866cd71
162,positivos,162,CAP-V2_033-TPL_03,162,TXT-0163,4a53d4de6ec799e04da903f8cb4a1fa01bf0d332147f1faa9f872d1fa7d7c737
163,positivos,163,CAP-V2_033-TPL_04,163,TXT-0164,a89f8edc48f1039124e9f8272b8340d8b3399c9d5d29b0ae55f1204a9afeedfa
164,positivos,164,CAP-V2_033-TPL_05,164,TXT-0165,b9d2de16870616a806542cac488a331fd3b2e513a96e4bc14e0fd8291a212ea0
165,positivos,165,CAP-V2_034-TPL_01,165,TXT-0166,fa7af82166dcadf35dc8f6f238b44b7620fb0c53a9e07fb018ccf6dce78a9e6a
166,positivos,166,CAP-V2_034-TPL_02,166,TXT-0167,302ae668a21820872e6dde898d2d08990125f422810567b477a336a281f44884
167,positivos,167,CAP-V2_034-TPL_03,167,TXT-0168,f06e57672ef90e8c8c52ca316bafa1341a98105c6938e55e69c311bcbc3fafe2
168,positivos,168,CAP-V2_034-TPL_04,168,TXT-0169,7b9eadebfb1f31ec7d3a546e56787e19b37f7c557d9ffac001b5a234ec9d2b22
169,positivos,169,CAP-V2_034-TPL_05,169,TXT-0170,663d49701078d6d4183863ed5bc451fcc44fdc6bbb8aeb9fa3ad4d7673891685
170,positivos,170,CAP-V2_035-TPL_01,170,TXT-0171,f5b328ee55d76417a0832dbec1d09000eaddedbb27f019bb621466551e5c21d5
171,positivos,171,CAP-V2_035-TPL_02,171,TXT-0172,ec8fd678405dfd7be4f53412b5dc50adec78c6b1e0d1e20355e75235367f017a
172,positivos,172,CAP-V2_035-TPL_03,172,TXT-0173,32e85d44028b390787bff1c24c6076aefffe8e4454912aef0afb7687c04666cd
173,positivos,173,CAP-V2_035-TPL_04,173,TXT-0174,6a703945c74a3cb2ec53f2d91467e842d934d4e9a434eeec0e8ab0a50b2d0329
174,positivos,174,CAP-V2_035-TPL_05,174,TXT-0175,7ecbdc80d2f0030d9a35235a2548e38c07fcc7e5dd0688cbc6fc4ec440f4ccc1
175,positivos,175,CAP-V2_036-TPL_01,175,TXT-0176,59a66d29753f5d5a554eefee908236f22e03d38bd586077b77a5433f27c8037e
176,positivos,176,CAP-V2_036-TPL_02,176,TXT-0177,4c6daa1ddd9fa4c84b2b965ac62b8e0297e284115a30588e47b01e4ae3efff59
177,positivos,177,CAP-V2_036-TPL_03,177,TXT-0178,db2e9db68ccbdbb379c7b9c38a7862ecd8a08c16e8221b914e40a1e63f9d1def
178,positivos,178,CAP-V2_036-TPL_04,178,TXT-0179,bb80b78b19da0df5fb78ab687105467cb9deb278b4c620fd2ae766202b543946
179,positivos,179,CAP-V2_036-TPL_05,179,TXT-0180,8ab4b2fa78f5ac0c6c03b2d9386dc078b3dadbdb9b607392ab7758479260ca93
180,positivos,180,CAP-V2_037-TPL_01,180,TXT-0181,53ea6ccd54778020b27c560c3c89cf1e36839745deca5ffdfc25615e39e311b5
181,positivos,181,CAP-V2_037-TPL_02,181,TXT-0182,c2e8a0d186c42060d68d657bd28a36fa4d10016f8cf23640aa2ca445d7fd5caa
182,positivos,182,CAP-V2_037-TPL_03,182,TXT-0183,b087b8e6fd12213a9f5e387895d509d63b42f734065959d5d1c1c6987c74920f
183,positivos,183,CAP-V2_037-TPL_04,183,TXT-0184,4f920fe2c062bbd8023a4f0c7f7f777524508b5b3d5fdde0a4354c2427ac851b
184,positivos,184,CAP-V2_037-TPL_05,184,TXT-0185,e93de355a8a1392e585ad778812ff54af6297aad503f75f284568750163e5cd8
185,positivos,185,CAP-V2_038-TPL_01,185,TXT-0186,7a3a69264437240b0a8f80cf34a148b8c1ead03045d1876177e27866967ca340
186,positivos,186,CAP-V2_038-TPL_02,186,TXT-0187,05ef38e8d0c3c86671d9fca9222b6e93b5e8ba4407a8abb230d1ab6cbfc07773
