image_id,top1_text_id,top1_image_id,top1_caption,top1_score,is_top1_correct,first_correct_rank,first_correct_caption,first_correct_score
T011,T021_caption_1,T021,"Patron textil generado con composicion central, motivos de rombos y paleta rojo, negro, crema.",0.3316532373428345,False,6,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta rojo, negro, crema.",0.32080399990081787
T012,T037_caption_1,T037,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.38265472650527954,False,7,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta azul, crema, marron.",0.3482081890106201
T013,T013_caption_1,T013,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.3538462221622467,True,1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.3538462221622467
T014,T014_caption_1,T014,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3598038852214813,True,1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3598038852214813
T015,T021_caption_1,T021,"Patron textil generado con composicion central, motivos de rombos y paleta rojo, negro, crema.",0.26875826716423035,False,6,"Patron textil generado con composicion central, motivos de rombos y paleta multicolor, tierra.",0.247763529419899
T016,T026_caption_1,T026,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3392740786075592,False,11,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta rojo, negro, crema.",0.30598127841949463
T017,T027_caption_1,T027,"Patron textil generado con composicion central, motivos de rombos y paleta azul, crema, marron.",0.3274989724159241,False,2,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta azul, crema, marron.",0.32713404297828674
T018,T013_caption_1,T013,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.36984556913375854,False,7,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta ocre, marron, negro.",0.33490055799484253
T019,T019_caption_1,T019,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.33741411566734314,True,1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.33741411566734314
T020,T020_caption_1,T020,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.",0.32937097549438477,True,1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.",0.32937097549438477
T021,T023_caption_1,T023,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta ocre, marron, negro.",0.28118428587913513,False,19,"Patron textil generado con composicion central, motivos de rombos y paleta rojo, negro, crema.",0.25292840600013733
T022,T037_caption_1,T037,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.3596036434173584,False,7,"Diseno geometrico generado con paleta azul, crema, marron, estructura modular y repeticion visual.",0.33837422728538513
T023,T023_caption_1,T023,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta ocre, marron, negro.",0.3077645003795624,True,1,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta ocre, marron, negro.",0.3077645003795624
T024,T019_caption_1,T019,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3468204140663147,False,4,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta blanco, negro, gris.",0.3170833885669708
T025,T025_caption_1,T025,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.3402469754219055,True,1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.3402469754219055
T026,T026_caption_1,T026,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta rojo, negro, crema.",0.35888975858688354,True,1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta rojo, negro, crema.",0.35888975858688354
T027,T023_caption_1,T023,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta ocre, marron, negro.",0.2900756895542145,False,11,"Patron textil generado con composicion central, motivos de rombos y paleta azul, crema, marron.",0.2825152575969696
T028,T013_caption_1,T013,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta ocre, marron, negro.",0.3421355187892914,False,8,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta ocre, marron, negro.",0.30878013372421265
T029,T039_caption_1,T039,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.3270993232727051,False,4,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta blanco, negro, gris.",0.31797248125076294
T030,T025_caption_1,T025,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.34799498319625854,False,5,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta multicolor, tierra.",0.30075567960739136
T031,T031_caption_1,T031,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462,True,1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.3615765869617462
T032,T032_caption_1,T032,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735,True,1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.",0.3695981204509735
T033,T033_caption_1,T033,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.",0.2843455970287323,True,1,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.",0.2843455970287323
T034,T014_caption_1,T014,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.3072253167629242,False,7,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta blanco, negro, gris.",0.2778145968914032
T035,T020_caption_1,T020,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta multicolor, tierra.",0.27238568663597107,False,6,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.",0.2653998136520386
T036,T031_caption_1,T031,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.",0.35847482085227966,False,11,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta rojo, negro, crema.",0.3245339095592499
T037,T037_caption_1,T037,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.371223509311676,True,1,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.",0.371223509311676
T038,T038_caption_1,T038,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.36813825368881226,True,1,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.",0.36813825368881226
T039,T039_caption_1,T039,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.27660802006721497,True,1,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.27660802006721497
T040,T025_caption_1,T025,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.",0.31352272629737854,False,25,"Diseno geometrico generado con paleta multicolor, tierra, estructura modular y repeticion visual.",0.2606535255908966
